athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Yuval Safra,ISR,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6697.98,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6722.42,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Ryan,NZL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6727.02,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6727.13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahar Resman,ISR,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6731.73,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Mattelear,BEL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6732.62,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6741.02,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Novoszath,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6745.41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6745.67,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Brantu,FRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6753.58,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippe Guertin,CAN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6759.56,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Kris Orosz,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6816.51,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltán Drigan,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6816.89,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,BEL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6825.80,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
