athlete_name,country,status,dob
Clil Halevi,ISR,Active,
Corentin Gouezec,FRA,Active,
Eric Villaregut De Mingo,ESP,Active,
Amaury Rocha De Oliveira,FRA,Active,
David Kuipers,NED,Active,
David Ludvik,CZE,Active,
Davor Petrovski,MKD,Active,
Diogo Manuel Marques,POR,Active,
Diogo Nunes,POR,Active,
Dmitri Titov,RUS,Active,
Moshe Tzur Dvir,ISR,Active,
Edouard Visbecq,FRA,Active,
Eliott Prybil,FRA,Active,
Emanuele Russo,ITA,Active,
Enzo Oumailia,FRA,Active,
Enzo Teule,FRA,Active,
Eric Reuss,GER,Active,
Escriba Pol Yagües,ESP,Active,
Fabien Schapman,FRA,Active,
Fedor Matveev,RUS,Active,
Felix Bartels,GER,Active,
Ferran Julia Tous,ESP,Active,
Filip Polak,SVK,Active,
Florian Lafon,FRA,Active,
Francesco Bianchi,ITA,Active,
Frederik Bojesen,DEN,Active,
Frederik Jessen,DEN,Active,
Gauthier Pierron,FRA,Active,
Georgios Arniakos,GRE,Active,
Giuseppe Ilario,ITA,Active,
Guillaume Roux,FRA,Active,
Guy Moskovich,ISR,Active,
Hugo Chopineau,FRA,Active,
Hugo Savignac,FRA,Active,
Ibrahem Masarwey,ISR,Active,
Ilia Okorokov,RUS,Active,
Ioané Bourny,FRA,Active,
Isaac Dodds,GBR,Active,
Ivan Giovannoni,ITA,Active,
Jakov Igrec,CRO,Active,
Jakub Kacerovsky,CZE,Active,
Jakub Poliacik,SVK,Active,
Jan Adrian Urbaniak,POL,Active,
Jan Kutnik,CZE,Active,
Jan Micka,CZE,Active,
Jean-Baptiste Antonetti,FRA,Active,
Jérémie Herault,FRA,Active,
Jeremy Branger,FRA,Active,
Johan Boscher,FRA,Active,
Jorgos Skotadis,NED,Active,
Joris Bouchaut,FRA,Active,
Joshua Oliver Gultig,RSA,Active,
Joshua Tucker,RSA,Active,
Jules Remy,FRA,Active,
Julien Zinsmeister,FRA,Active,
Karel Baloun,CZE,Active,
Kirill Dolgov,RUS,Active,
Kristian Kron,SWE,Active,
Kyllian Lemarchand,FRA,Active,
Kyriakos Mavrakis,GRE,Active,
László Gálicz,HUN,Active,
Laurent Guillard,FRA,Active,
Leo Teule,FRA,Active,
Leonard Lajcuk,SVK,Active,
Levy Orr Horev,ISR,Active,
Lucas Bonnal,FRA,Active,
Mads Holm,DEN,Active,
